County,County Code,Race,Race Code,Year,Year Code,UCD - ICD Chapter,UCD - ICD Chapter Code,MCD - ICD Sub-Chapter,MCD - ICD Sub-Chapter Code,Deaths,Population,Crude Rate
"New London County, CT",9011,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,49,119884,40.9
"New London County, CT",9011,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,60,119884,50
"New London County, CT",9011,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,69,117507,58.7
"New London County, CT",9011,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,73,117507,62.1
"Tolland County, CT",9013,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,78096,Unreliable
"Tolland County, CT",9013,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,78096,30.7
"Tolland County, CT",9013,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,20,77540,25.8
"Tolland County, CT",9013,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,77540,28.4
"Tolland County, CT",9013,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,26,76468,34
"Tolland County, CT",9013,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,76468,36.6
"Windham County, CT",9015,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,60283,Unreliable
"Windham County, CT",9015,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,59149,Unreliable
"Windham County, CT",9015,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,23,59149,38.9
"Windham County, CT",9015,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,24,58156,41.3
"Windham County, CT",9015,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,58156,48.1
"Windham County, CT",9015,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,23,57312,40.1
"Windham County, CT",9015,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,57312,48.9
"Kent County, DE",10001,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,61547,Unreliable
"Kent County, DE",10001,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,25,61547,40.6
"Kent County, DE",10001,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,61923,Unreliable
"Kent County, DE",10001,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,61923,45.2
"Kent County, DE",10001,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,20,61596,32.5
"Kent County, DE",10001,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,32,61596,52
"Kent County, DE",10001,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,25,60649,41.2
"Kent County, DE",10001,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,32,60649,52.8
"New Castle County, DE",10003,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,13,80916,Unreliable
"New Castle County, DE",10003,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,80916,Unreliable
"New Castle County, DE",10003,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,12,82047,Unreliable
"New Castle County, DE",10003,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,83186,Unreliable
"New Castle County, DE",10003,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,20,83186,24
"New Castle County, DE",10003,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,42,204358,20.6
"New Castle County, DE",10003,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,54,204358,26.4
"New Castle County, DE",10003,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,48,202187,23.7
"New Castle County, DE",10003,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,74,202187,36.6
"New Castle County, DE",10003,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,200131,Unreliable
"New Castle County, DE",10003,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,55,200131,27.5
"New Castle County, DE",10003,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,78,200131,39
"New Castle County, DE",10003,White,2106-3,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,196659,Unreliable
"New Castle County, DE",10003,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,81,196659,41.2
"New Castle County, DE",10003,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,112,196659,57
"Sussex County, DE",10005,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,19,73790,Unreliable
"Sussex County, DE",10005,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,27,73790,36.6
"Sussex County, DE",10005,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,19,73556,Unreliable
"Sussex County, DE",10005,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,73556,38.1
"Sussex County, DE",10005,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,25,73823,33.9
"Sussex County, DE",10005,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,36,73823,48.8
"Sussex County, DE",10005,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,39,73840,52.8
"Sussex County, DE",10005,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,61,73840,82.6
"District of Columbia, DC",11001,Black or African American,2054-5,2013,2013,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,181118,Unreliable
"District of Columbia, DC",11001,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,35,181118,19.3
"District of Columbia, DC",11001,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,41,181118,22.6
"District of Columbia, DC",11001,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,40,182440,21.9
"District of Columbia, DC",11001,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,40,182440,21.9
"District of Columbia, DC",11001,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,43,182227,23.6
"District of Columbia, DC",11001,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,58,182227,31.8
"District of Columbia, DC",11001,Black or African American,2054-5,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,182149,Unreliable
"District of Columbia, DC",11001,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,87,182149,47.8
"District of Columbia, DC",11001,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,117,182149,64.2
"District of Columbia, DC",11001,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,13,202867,Unreliable
"District of Columbia, DC",11001,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,207486,Unreliable
"District of Columbia, DC",11001,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,207486,Unreliable
"District of Columbia, DC",11001,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,213497,Unreliable
"District of Columbia, DC",11001,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,20,217715,9.2
"District of Columbia, DC",11001,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,217715,12.9
"Alachua County, FL",12001,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,112099,Unreliable
"Alachua County, FL",12001,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,111878,Unreliable
"Alachua County, FL",12001,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,112085,21.4
"Alachua County, FL",12001,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,21,112859,18.6
"Bay County, FL",12005,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,77532,Unreliable
"Bay County, FL",12005,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,77532,Unreliable
"Bay County, FL",12005,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,14,78367,Unreliable
"Bay County, FL",12005,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,19,78367,Unreliable
"Bay County, FL",12005,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,78565,Unreliable
"Bay County, FL",12005,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,78565,Unreliable
"Bay County, FL",12005,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,31,78619,39.4
"Bay County, FL",12005,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,33,78619,42
"Brevard County, FL",12009,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,56,220068,25.4
"Brevard County, FL",12009,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,69,220068,31.4
"Brevard County, FL",12009,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,218148,Unreliable
"Brevard County, FL",12009,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,53,218148,24.3
"Brevard County, FL",12009,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,67,218148,30.7
"Brevard County, FL",12009,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,16,218907,Unreliable
"Brevard County, FL",12009,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,90,218907,41.1
"Brevard County, FL",12009,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,105,218907,48
"Brevard County, FL",12009,White,2106-3,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,219336,Unreliable
"Brevard County, FL",12009,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,99,219336,45.1
"Brevard County, FL",12009,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,122,219336,55.6
"Broward County, FL",12011,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,14,317765,Unreliable
"Broward County, FL",12011,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,324760,Unreliable
"Broward County, FL",12011,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,23,329337,7
"Broward County, FL",12011,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,34,329337,10.3
"Broward County, FL",12011,White,2106-3,2013,2013,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,21,642002,3.3
"Broward County, FL",12011,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,67,642002,10.4
"Broward County, FL",12011,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,127,642002,19.8
"Broward County, FL",12011,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,30,642530,4.7
"Broward County, FL",12011,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,60,642530,9.3
"Broward County, FL",12011,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,127,642530,19.8
"Broward County, FL",12011,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,21,639804,3.3
"Broward County, FL",12011,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,71,639804,11.1
"Broward County, FL",12011,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,196,639804,30.6
"Broward County, FL",12011,White,2106-3,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,30,634545,4.7
"Broward County, FL",12011,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,241,634545,38
"Broward County, FL",12011,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,388,634545,61.1
"Charlotte County, FL",12015,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,51826,Unreliable
"Charlotte County, FL",12015,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,52323,Unreliable
"Charlotte County, FL",12015,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,52323,Unreliable
"Charlotte County, FL",12015,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,52992,Unreliable
"Charlotte County, FL",12015,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,52992,Unreliable
"Citrus County, FL",12017,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,47822,Unreliable
"Citrus County, FL",12017,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,18,47822,Unreliable
"Citrus County, FL",12017,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,47169,Unreliable
"Citrus County, FL",12017,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,17,47169,Unreliable
"Citrus County, FL",12017,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,18,47222,Unreliable
"Citrus County, FL",12017,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,20,47222,42.4
"Citrus County, FL",12017,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,29,47567,61
"Citrus County, FL",12017,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,39,47567,82
"Clay County, FL",12019,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,24,87704,27.4
"Clay County, FL",12019,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,28,87704,31.9
"Clay County, FL",12019,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,18,88127,Unreliable
"Clay County, FL",12019,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,88127,25
"Clay County, FL",12019,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,24,88847,27
"Clay County, FL",12019,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,32,88847,36
"Clay County, FL",12019,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,35,89499,39.1
"Clay County, FL",12019,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,54,89499,60.3
"Collier County, FL",12021,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,22,127387,17.3
"Collier County, FL",12021,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,129417,Unreliable
"Collier County, FL",12021,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,31,129417,24
"Collier County, FL",12021,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,36,130436,27.6
"Collier County, FL",12021,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,20,130469,15.3
"Collier County, FL",12021,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,40,130469,30.7
"Duval County, FL",12031,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,156538,Unreliable
"Duval County, FL",12031,Black or African American,2054-5,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,156538,Unreliable
"Duval County, FL",12031,Black or African American,2054-5,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,158285,Unreliable
"Duval County, FL",12031,Black or African American,2054-5,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,11,160638,Unreliable
"Duval County, FL",12031,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,33,162728,20.3
"Duval County, FL",12031,Black or African American,2054-5,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,40,162728,24.6
"Duval County, FL",12031,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,81,310913,26.1
"Duval County, FL",12031,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,95,310913,30.6
"Duval County, FL",12031,White,2106-3,2014,2014,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,310545,Unreliable
"Duval County, FL",12031,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,76,310545,24.5
"Duval County, FL",12031,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,89,310545,28.7
"Duval County, FL",12031,White,2106-3,2015,2015,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,11,312035,Unreliable
"Duval County, FL",12031,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,92,312035,29.5
"Duval County, FL",12031,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,123,312035,39.4
"Duval County, FL",12031,White,2106-3,2016,2016,Mental and behavioural disorders,F01-F99,Mental and behavioural disorders due to psychoactive substance use,F10-F19,19,311943,Unreliable
"Duval County, FL",12031,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,203,311943,65.1
"Duval County, FL",12031,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,269,311943,86.2
"Escambia County, FL",12033,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,17,117074,Unreliable
"Escambia County, FL",12033,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,15,117074,Unreliable
"Escambia County, FL",12033,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,27,118355,22.8
"Escambia County, FL",12033,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,118355,20.3
"Escambia County, FL",12033,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,37,116259,31.8
"Escambia County, FL",12033,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,37,116259,31.8
"Escambia County, FL",12033,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,27,116421,23.2
"Escambia County, FL",12033,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,24,116421,20.6
"Flagler County, FL",12035,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,35236,Unreliable
"Flagler County, FL",12035,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,10,35917,Unreliable
"Flagler County, FL",12035,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,10,35917,Unreliable
"Flagler County, FL",12035,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,36621,Unreliable
"Flagler County, FL",12035,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,14,36621,Unreliable
"Hernando County, FL",12053,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,19,68046,Unreliable
"Hernando County, FL",12053,White,2106-3,2013,2013,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,35,68046,51.4
"Hernando County, FL",12053,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,12,68378,Unreliable
"Hernando County, FL",12053,White,2106-3,2014,2014,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,16,68378,Unreliable
"Hernando County, FL",12053,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,18,69128,Unreliable
"Hernando County, FL",12053,White,2106-3,2015,2015,External causes of morbidity and mortality,V01-Y89,"Poisoning by drugs, medicaments and biological substances",T36-T50,19,69128,Unreliable
"Hernando County, FL",12053,White,2106-3,2016,2016,External causes of morbidity and mortality,V01-Y89,Mental and behavioural disorders due to psychoactive substance use,F10-F19,20,70214,28.5
